imp#,employee,team,turnover,male,empower,lmx,jobsat,climate,cohesion,empower[team],empower$lmx[team],lmx.mean[team]
1,1,1,0,1,32,11,3,18,3.5000,-0.1453,0.2658,7.3570
1,2,1,1,1,27.9233,13,4,18,3.5000,-0.1453,0.2658,7.3570
1,3,1,1,1,30,9,4,18,3.5000,-0.1453,0.2658,7.3570
1,4,1,1,1,29,8,3,18,3.5000,-0.1453,0.2658,7.3570
1,5,1,1,0,26,7,4,18,3.5000,-0.1453,0.2658,7.3570
1,6,1,999,0,27.6082,10,999,18,3.5000,-0.1453,0.2658,7.3570
1,7,2,0,0,29.5209,11,5,17,4,-0.5631,0.8132,9.4832
1,8,2,0,1,22,9,3,17,4,-0.5631,0.8132,9.4832
1,9,2,0,0,23,12.2862,2,17,4,-0.5631,0.8132,9.4832
1,10,2,0,0,32,9,4,17,4,-0.5631,0.8132,9.4832
1,11,2,0,1,29.0755,12,5,17,4,-0.5631,0.8132,9.4832
1,12,2,1,0,36,13,4,17,4,-0.5631,0.8132,9.4832
1,13,3,0,0,16,0,3,18.1333,6,-0.4070,0.1826,8.7500
1,14,3,1,0,25,8,3,18.1333,6,-0.4070,0.1826,8.7500
1,15,3,0,1,31,15,3,18.1333,6,-0.4070,0.1826,8.7500
1,16,3,0,1,27,9,6,18.1333,6,-0.4070,0.1826,8.7500
1,17,3,0,1,30,9,4,18.1333,6,-0.4070,0.1826,8.7500
1,18,3,0,1,23,10.2548,3,18.1333,6,-0.4070,0.1826,8.7500
1,19,4,0,0,19.2142,13,3,20,4.5000,-0.1866,-0.5173,10.6472
1,20,4,1,0,26,11,5,20,4.5000,-0.1866,-0.5173,10.6472
1,21,4,0,1,27,8,4,20,4.5000,-0.1866,-0.5173,10.6472
1,22,4,1,1,42,10,4,20,4.5000,-0.1866,-0.5173,10.6472
1,23,4,0,1,24,8,5,20,4.5000,-0.1866,-0.5173,10.6472
1,24,4,0,0,37,16,6,20,4.5000,-0.1866,-0.5173,10.6472
1,25,5,0,0,33,12,4,23,6.5000,-0.1398,0.3145,8.0138
1,26,5,0,1,37,13,4,23,6.5000,-0.1398,0.3145,8.0138
1,27,5,0,1,29,10.0647,4,23,6.5000,-0.1398,0.3145,8.0138
1,28,5,0,1,32,9,5,23,6.5000,-0.1398,0.3145,8.0138
1,29,5,0,0,24,6,4,23,6.5000,-0.1398,0.3145,8.0138
1,30,5,1,0,31,6,3,23,6.5000,-0.1398,0.3145,8.0138
1,31,6,1,0,21,2,3,16.5194,5.4862,1.4869,0.1803,8.6877
1,32,6,1,0,29,8,3,16.5194,5.4862,1.4869,0.1803,8.6877
1,33,6,0,1,33.9790,12,5,16.5194,5.4862,1.4869,0.1803,8.6877
1,34,6,0,1,25,9,5,16.5194,5.4862,1.4869,0.1803,8.6877
1,35,6,999,0,29.3371,12,999,16.5194,5.4862,1.4869,0.1803,8.6877
1,36,6,1,1,36,9.1192,5,16.5194,5.4862,1.4869,0.1803,8.6877
1,37,7,1,1,29,4,2,12,2,0.5179,-0.1925,8.4926
1,38,7,0,1,26,8.8583,4,12,2,0.5179,-0.1925,8.4926
1,39,7,1,0,26,6,2,12,2,0.5179,-0.1925,8.4926
1,40,7,0,1,26,10,4,12,2,0.5179,-0.1925,8.4926
1,41,7,1,1,31,9,4,12,2,0.5179,-0.1925,8.4926
1,42,7,0,0,33,8,4,12,2,0.5179,-0.1925,8.4926
1,43,8,999,0,21.8522,8,999,16,3.5000,-0.0184,-0.3374,9.3488
1,44,8,0,0,26,12,5,16,3.5000,-0.0184,-0.3374,9.3488
1,45,8,0,1,25,5,5,16,3.5000,-0.0184,-0.3374,9.3488
1,46,8,999,1,25.3454,9,999,16,3.5000,-0.0184,-0.3374,9.3488
1,47,8,0,1,29,5,3,16,3.5000,-0.0184,-0.3374,9.3488
