imp#,employee,team,turnover,male,empower,lmx,jobsat,climate,cohesion,beta_1j.latent,empower[team],lmx[team],lmx.mean[team]
1,1,1,0,1,32,11,3,18,3.5000,0.9722,0.9078,1.1356,8.7587
1,2,1,1,1,30.0103,13,4,18,3.5000,0.9722,0.9078,1.1356,8.7587
1,3,1,1,1,30,9,4,18,3.5000,0.9722,0.9078,1.1356,8.7587
1,4,1,1,1,29,8,3,18,3.5000,0.9722,0.9078,1.1356,8.7587
1,5,1,1,0,26,7,4,18,3.5000,0.9722,0.9078,1.1356,8.7587
1,6,1,999,0,30.1163,10,999,18,3.5000,0.9722,0.9078,1.1356,8.7587
1,7,2,0,0,28.8728,11,5,17,4,1.5321,0.4151,1.0716,10.7034
1,8,2,0,1,22,9,3,17,4,1.5321,0.4151,1.0716,10.7034
1,9,2,0,0,23,9.9455,2,17,4,1.5321,0.4151,1.0716,10.7034
1,10,2,0,0,32,9,4,17,4,1.5321,0.4151,1.0716,10.7034
1,11,2,0,1,29.1417,12,5,17,4,1.5321,0.4151,1.0716,10.7034
1,12,2,1,0,36,13,4,17,4,1.5321,0.4151,1.0716,10.7034
1,13,3,0,0,16,0,3,18.7630,6,0.8915,-0.1149,-0.2899,9.1033
1,14,3,1,0,25,8,3,18.7630,6,0.8915,-0.1149,-0.2899,9.1033
1,15,3,0,1,31,15,3,18.7630,6,0.8915,-0.1149,-0.2899,9.1033
1,16,3,0,1,27,9,6,18.7630,6,0.8915,-0.1149,-0.2899,9.1033
1,17,3,0,1,30,9,4,18.7630,6,0.8915,-0.1149,-0.2899,9.1033
1,18,3,0,1,23,8.1684,3,18.7630,6,0.8915,-0.1149,-0.2899,9.1033
1,19,4,0,0,25.5252,13,3,20,4.5000,1.3881,-0.2650,-0.0216,8.8364
1,20,4,1,0,26,11,5,20,4.5000,1.3881,-0.2650,-0.0216,8.8364
1,21,4,0,1,27,8,4,20,4.5000,1.3881,-0.2650,-0.0216,8.8364
1,22,4,1,1,42,10,4,20,4.5000,1.3881,-0.2650,-0.0216,8.8364
1,23,4,0,1,24,8,5,20,4.5000,1.3881,-0.2650,-0.0216,8.8364
1,24,4,0,0,37,16,6,20,4.5000,1.3881,-0.2650,-0.0216,8.8364
1,25,5,0,0,33,12,4,23,6.5000,0.7060,0.4986,0.8787,9.5613
1,26,5,0,1,37,13,4,23,6.5000,0.7060,0.4986,0.8787,9.5613
1,27,5,0,1,29,7.0118,4,23,6.5000,0.7060,0.4986,0.8787,9.5613
1,28,5,0,1,32,9,5,23,6.5000,0.7060,0.4986,0.8787,9.5613
1,29,5,0,0,24,6,4,23,6.5000,0.7060,0.4986,0.8787,9.5613
1,30,5,1,0,31,6,3,23,6.5000,0.7060,0.4986,0.8787,9.5613
1,31,6,1,0,21,2,3,23.6442,4.3474,1.1150,-1.1841,-0.5185,9.8295
1,32,6,1,0,29,8,3,23.6442,4.3474,1.1150,-1.1841,-0.5185,9.8295
1,33,6,0,1,27.9197,12,5,23.6442,4.3474,1.1150,-1.1841,-0.5185,9.8295
1,34,6,0,1,25,9,5,23.6442,4.3474,1.1150,-1.1841,-0.5185,9.8295
1,35,6,999,0,25.6566,12,999,23.6442,4.3474,1.1150,-1.1841,-0.5185,9.8295
