imp#,employee,team,turnover,male,empower,lmx,jobsat,climate,cohesion,empower[team],empower$lmx[team],lmx[team],lmx.mean[team]
1,1,1,0,1,32,11,3,18,3.5000,1.2034,0.4264,-0.4702,10.4562
1,2,1,1,1,31.8500,13,4,18,3.5000,1.2034,0.4264,-0.4702,10.4562
1,3,1,1,1,30,9,4,18,3.5000,1.2034,0.4264,-0.4702,10.4562
1,4,1,1,1,29,8,3,18,3.5000,1.2034,0.4264,-0.4702,10.4562
1,5,1,1,0,26,7,4,18,3.5000,1.2034,0.4264,-0.4702,10.4562
1,6,1,999,0,26.6536,10,999,18,3.5000,1.2034,0.4264,-0.4702,10.4562
1,7,2,0,0,35.6808,11,5,17,4,0.1881,0.2639,-0.0996,9.5922
1,8,2,0,1,22,9,3,17,4,0.1881,0.2639,-0.0996,9.5922
1,9,2,0,0,23,10.4315,2,17,4,0.1881,0.2639,-0.0996,9.5922
1,10,2,0,0,32,9,4,17,4,0.1881,0.2639,-0.0996,9.5922
1,11,2,0,1,27.6011,12,5,17,4,0.1881,0.2639,-0.0996,9.5922
1,12,2,1,0,36,13,4,17,4,0.1881,0.2639,-0.0996,9.5922
1,13,3,0,0,16,0,3,22.1626,6,-0.3199,-0.1539,-1.8134,9.3972
1,14,3,1,0,25,8,3,22.1626,6,-0.3199,-0.1539,-1.8134,9.3972
1,15,3,0,1,31,15,3,22.1626,6,-0.3199,-0.1539,-1.8134,9.3972
1,16,3,0,1,27,9,6,22.1626,6,-0.3199,-0.1539,-1.8134,9.3972
1,17,3,0,1,30,9,4,22.1626,6,-0.3199,-0.1539,-1.8134,9.3972
1,18,3,0,1,23,7.2876,3,22.1626,6,-0.3199,-0.1539,-1.8134,9.3972
1,19,4,0,0,28.6258,13,3,20,4.5000,1.2194,0.6373,0.5497,9.9064
1,20,4,1,0,26,11,5,20,4.5000,1.2194,0.6373,0.5497,9.9064
1,21,4,0,1,27,8,4,20,4.5000,1.2194,0.6373,0.5497,9.9064
1,22,4,1,1,42,10,4,20,4.5000,1.2194,0.6373,0.5497,9.9064
1,23,4,0,1,24,8,5,20,4.5000,1.2194,0.6373,0.5497,9.9064
1,24,4,0,0,37,16,6,20,4.5000,1.2194,0.6373,0.5497,9.9064
1,25,5,0,0,33,12,4,23,6.5000,-0.7357,0.0408,0.2184,9.4702
1,26,5,0,1,37,13,4,23,6.5000,-0.7357,0.0408,0.2184,9.4702
1,27,5,0,1,29,9.8788,4,23,6.5000,-0.7357,0.0408,0.2184,9.4702
1,28,5,0,1,32,9,5,23,6.5000,-0.7357,0.0408,0.2184,9.4702
1,29,5,0,0,24,6,4,23,6.5000,-0.7357,0.0408,0.2184,9.4702
1,30,5,1,0,31,6,3,23,6.5000,-0.7357,0.0408,0.2184,9.4702
1,31,6,1,0,21,2,3,23.3644,6.4561,-0.0287,0.3156,-0.0764,10.3122
1,32,6,1,0,29,8,3,23.3644,6.4561,-0.0287,0.3156,-0.0764,10.3122
1,33,6,0,1,32.9534,12,5,23.3644,6.4561,-0.0287,0.3156,-0.0764,10.3122
1,34,6,0,1,25,9,5,23.3644,6.4561,-0.0287,0.3156,-0.0764,10.3122
1,35,6,999,0,23.7294,12,999,23.3644,6.4561,-0.0287,0.3156,-0.0764,10.3122
1,36,6,1,1,36,12.6485,5,23.3644,6.4561,-0.0287,0.3156,-0.0764,10.3122
1,37,7,1,1,29,4,2,12,2,-1.0973,-0.6503,-2.7036,7.8397
1,38,7,0,1,26,4.7520,4,12,2,-1.0973,-0.6503,-2.7036,7.8397
1,39,7,1,0,26,6,2,12,2,-1.0973,-0.6503,-2.7036,7.8397
1,40,7,0,1,26,10,4,12,2,-1.0973,-0.6503,-2.7036,7.8397
1,41,7,1,1,31,9,4,12,2,-1.0973,-0.6503,-2.7036,7.8397
1,42,7,0,0,33,8,4,12,2,-1.0973,-0.6503,-2.7036,7.8397
1,43,8,999,0,25.3242,8,999,16,3.5000,-0.2070,-0.5490,-1.9810,8.9650
1,44,8,0,0,26,12,5,16,3.5000,-0.2070,-0.5490,-1.9810,8.9650
1,45,8,0,1,25,5,5,16,3.5000,-0.2070,-0.5490,-1.9810,8.9650
1,46,8,999,1,20.5671,9,999,16,3.5000,-0.2070,-0.5490,-1.9810,8.9650
1,47,8,0,1,29,5,3,16,3.5000,-0.2070,-0.5490,-1.9810,8.9650
1,48,8,0,0,27,6.6011,4,16,3.5000,-0.2070,-0.5490,-1.9810,8.9650
1,49,9,0,0,27,7,5,23,4,-0.8019,-0.5319,-0.2325,9.5826
1,50,9,0,0,28,9,5,23,4,-0.8019,-0.5319,-0.2325,9.5826
1,51,9,0,0,26,7,4,23,4,-0.8019,-0.5319,-0.2325,9.5826
1,52,9,0,1,29,12,4,23,4,-0.8019,-0.5319,-0.2325,9.5826
1,53,9,1,1,28,10,4,23,4,-0.8019,-0.5319,-0.2325,9.5826
1,54,9,0,0,25,8.1057,5,23,4,-0.8019,-0.5319,-0.2325,9.5826
1,55,10,1,1,33,8,4,24,6.5000,-0.8316,0.3623,-0.5745,9.4429
1,56,10,1,0,27,9,3,24,6.5000,-0.8316,0.3623,-0.5745,9.4429
1,57,10,0,1,29,6,4,24,6.5000,-0.8316,0.3623,-0.5745,9.4429
1,58,10,0,1,36,14,4,24,6.5000,-0.8316,0.3623,-0.5745,9.4429
1,59,10,0,0,24,4.8400,4,24,6.5000,-0.8316,0.3623,-0.5745,9.4429
1,60,10,0,1,22,5,3,24,6.5000,-0.8316,0.3623,-0.5745,9.4429
1,61,11,1,0,28,8,3,15,5,-0.8837,0.8868,-1.2359,8.9712
1,62,11,0,1,26,7,6,15,5,-0.8837,0.8868,-1.2359,8.9712
1,63,11,0,0,30,11,4,15,5,-0.8837,0.8868,-1.2359,8.9712
1,64,11,0,1,28,8,4,15,5,-0.8837,0.8868,-1.2359,8.9712
1,65,11,0,1,28,8,3,15,5,-0.8837,0.8868,-1.2359,8.9712
1,66,11,1,0,25,5,3,15,5,-0.8837,0.8868,-1.2359,8.9712
1,67,12,0,1,36,10,5,18,6,1.2529,-0.3744,-1.4181,9.7586
1,68,12,0,1,32,5.2058,3,18,6,1.2529,-0.3744,-1.4181,9.7586
1,69,12,0,0,30,11,4,18,6,1.2529,-0.3744,-1.4181,9.7586
1,70,12,0,0,30,12,7,18,6,1.2529,-0.3744,-1.4181,9.7586
1,71,12,1,0,34,9,3,18,6,1.2529,-0.3744,-1.4181,9.7586
1,72,12,999,1,33.1168,7,999,18,6,1.2529,-0.3744,-1.4181,9.7586
1,73,13,0,1,24,5,5,19,4.5000,-0.4548,-0.1465,-1.7178,9.1623
1,74,13,0,1,23,2,4,19,4.5000,-0.4548,-0.1465,-1.7178,9.1623
1,75,13,0,0,25,10,4,19,4.5000,-0.4548,-0.1465,-1.7178,9.1623
1,76,13,1,0,27,11,4,19,4.5000,-0.4548,-0.1465,-1.7178,9.1623
1,77,13,1,1,24,6,3,19,4.5000,-0.4548,-0.1465,-1.7178,9.1623
1,78,13,999,1,30.5528,8,999,19,4.5000,-0.4548,-0.1465,-1.7178,9.1623
1,79,14,1,1,24,3,2,20,5,2.1856,0.3904,-0.9569,6.0610
1,80,14,0,1,30,10.6350,3,20,5,2.1856,0.3904,-0.9569,6.0610
1,81,14,1,0,22,7,2,20,5,2.1856,0.3904,-0.9569,6.0610
1,82,14,1,0,27,8,4,20,5,2.1856,0.3904,-0.9569,6.0610
1,83,14,0,0,38,10,4,20,5,2.1856,0.3904,-0.9569,6.0610
1,84,14,1,1,30,4,4,20,5,2.1856,0.3904,-0.9569,6.0610
1,85,15,0,1,34,9,3,15,4.5000,0.2977,0.2122,-0.4879,9.1125
1,86,15,0,1,24,13,5,15,4.5000,0.2977,0.2122,-0.4879,9.1125
1,87,15,1,1,21,5,3,15,4.5000,0.2977,0.2122,-0.4879,9.1125
1,88,15,0,1,33,12,3,15,4.5000,0.2977,0.2122,-0.4879,9.1125
1,89,15,0,1,35,10,5,15,4.5000,0.2977,0.2122,-0.4879,9.1125
1,90,15,1,1,23,5.9019,1,15,4.5000,0.2977,0.2122,-0.4879,9.1125
1,91,16,0,1,28,9,5,24,4.5000,0.2797,0.1537,0.1845,9.3421
1,92,16,999,1,31.9765,9,999,24,4.5000,0.2797,0.1537,0.1845,9.3421
1,93,16,1,0,24,4,3,24,4.5000,0.2797,0.1537,0.1845,9.3421
1,94,16,0,1,34,12,5,24,4.5000,0.2797,0.1537,0.1845,9.3421
1,95,16,0,0,34,8,5,24,4.5000,0.2797,0.1537,0.1845,9.3421
1,96,16,1,0,32.6476,12,6,24,4.5000,0.2797,0.1537,0.1845,9.3421
1,97,17,1,0,29,4,3,15,5.5000,-0.8051,-0.0016,0.4928,10.2276
1,98,17,999,0,31.6470,11,999,15,5.5000,-0.8051,-0.0016,0.4928,10.2276
1,99,17,0,0,26,10,5,15,5.5000,-0.8051,-0.0016,0.4928,10.2276
1,100,17,0,1,33,10,4,15,5.5000,-0.8051,-0.0016,0.4928,10.2276
1,101,17,1,1,29,11.7729,4,15,5.5000,-0.8051,-0.0016,0.4928,10.2276
1,102,17,0,0,29.5639,12,6,15,5.5000,-0.8051,-0.0016,0.4928,10.2276
1,103,18,0,1,27.5283,10,1,16,4,0.0772,0.2640,0.8868,10.4049
1,104,18,1,0,22,10,4,16,4,0.0772,0.2640,0.8868,10.4049
1,105,18,0,1,28,9,3,16,4,0.0772,0.2640,0.8868,10.4049
1,106,18,1,1,32,13,4,16,4,0.0772,0.2640,0.8868,10.4049
1,107,18,0,0,27,10,2,16,4,0.0772,0.2640,0.8868,10.4049
1,108,18,999,1,38.9425,17,999,16,4,0.0772,0.2640,0.8868,10.4049
1,109,19,0,0,28,8,5,22,5,0.0322,-0.2428,-1.3966,9.4399
1,110,19,0,0,33,13,4,22,5,0.0322,-0.2428,-1.3966,9.4399
1,111,19,0,1,32.3890,9,4,22,5,0.0322,-0.2428,-1.3966,9.4399
1,112,19,0,0,26,4,7,22,5,0.0322,-0.2428,-1.3966,9.4399
1,113,19,0,1,33,8.3389,3,22,5,0.0322,-0.2428,-1.3966,9.4399
1,114,19,0,0,20.7507,11,4,22,5,0.0322,-0.2428,-1.3966,9.4399
1,115,20,0,0,23,9,3,14,3,-0.5736,0.4450,0.1440,9.6588
1,116,20,1,0,22,6,4,14,3,-0.5736,0.4450,0.1440,9.6588
1,117,20,0,0,29,12,4,14,3,-0.5736,0.4450,0.1440,9.6588
1,118,20,0,0,26,15,4,14,3,-0.5736,0.4450,0.1440,9.6588
1,119,20,1,0,29,10,3,14,3,-0.5736,0.4450,0.1440,9.6588
1,120,20,0,0,24,9,4,14,3,-0.5736,0.4450,0.1440,9.6588
1,121,21,0,1,25,7,3,19,5,-0.6481,0.3633,-0.7479,10.9435
1,122,21,1,0,36.1466,17,4,19,5,-0.6481,0.3633,-0.7479,10.9435
1,123,21,1,0,17,5,2,19,5,-0.6481,0.3633,-0.7479,10.9435
1,124,21,0,0,35,14.2470,5,19,5,-0.6481,0.3633,-0.7479,10.9435
1,125,21,0,0,26,9,5,19,5,-0.6481,0.3633,-0.7479,10.9435
1,126,21,0,1,37,10,3,19,5,-0.6481,0.3633,-0.7479,10.9435
1,127,22,0,1,39,10,5,30.8308,7,-0.4073,-0.4750,-0.2692,8.6608
1,128,22,0,1,31,7,4,30.8308,7,-0.4073,-0.4750,-0.2692,8.6608
1,129,22,0,1,32,6,3,30.8308,7,-0.4073,-0.4750,-0.2692,8.6608
1,130,22,0,1,33,9,6,30.8308,7,-0.4073,-0.4750,-0.2692,8.6608
1,131,22,0,0,32,5,3,30.8308,7,-0.4073,-0.4750,-0.2692,8.6608
1,132,22,0,1,31,9.3453,3,30.8308,7,-0.4073,-0.4750,-0.2692,8.6608
1,133,23,0,1,28,11,4,24,6.5131,-0.7158,-0.3742,1.1558,11.0882
1,134,23,0,0,22,10,4,24,6.5131,-0.7158,-0.3742,1.1558,11.0882
1,135,23,999,0,28.5001,14,999,24,6.5131,-0.7158,-0.3742,1.1558,11.0882
1,136,23,0,1,33,11,5,24,6.5131,-0.7158,-0.3742,1.1558,11.0882
1,137,23,0,1,30,9,4,24,6.5131,-0.7158,-0.3742,1.1558,11.0882
1,138,23,0,1,36.3000,13,6,24,6.5131,-0.7158,-0.3742,1.1558,11.0882
1,139,24,0,0,28,10,3,19,8,-0.4277,-0.1273,1.1086,10.6679
1,140,24,0,1,36,14,4,19,8,-0.4277,-0.1273,1.1086,10.6679
1,141,24,1,0,27,10.2474,3,19,8,-0.4277,-0.1273,1.1086,10.6679
1,142,24,0,0,26,11,2,19,8,-0.4277,-0.1273,1.1086,10.6679
1,143,24,0,0,24,9,1,19,8,-0.4277,-0.1273,1.1086,10.6679
1,144,24,0,1,29.0788,13,4,19,8,-0.4277,-0.1273,1.1086,10.6679
1,145,25,999,1,26.1484,10,999,27.5997,7,0.8319,0.1330,-0.7106,8.8948
1,146,25,1,0,26,8,1,27.5997,7,0.8319,0.1330,-0.7106,8.8948
1,147,25,0,0,34,6,4,27.5997,7,0.8319,0.1330,-0.7106,8.8948
1,148,25,1,0,26,6,2,27.5997,7,0.8319,0.1330,-0.7106,8.8948
1,149,25,999,1,32.3233,10,999,27.5997,7,0.8319,0.1330,-0.7106,8.8948
1,150,25,0,0,28,6.7971,4,27.5997,7,0.8319,0.1330,-0.7106,8.8948
1,151,26,0,1,29,9,4,22,5,-0.5172,-0.1471,1.3444,9.3302
1,152,26,0,0,22.9221,12,4,22,5,-0.5172,-0.1471,1.3444,9.3302
1,153,26,1,0,23,10,3,22,5,-0.5172,-0.1471,1.3444,9.3302
1,154,26,0,0,22,9,5,22,5,-0.5172,-0.1471,1.3444,9.3302
1,155,26,0,1,31,7,3,22,5,-0.5172,-0.1471,1.3444,9.3302
1,156,26,0,1,26,10,4,22,5,-0.5172,-0.1471,1.3444,9.3302
1,157,27,1,1,34,10.4534,3,21,4.5000,0.5673,0.1481,0.4112,9.7583
1,158,27,0,1,32,12,4,21,4.5000,0.5673,0.1481,0.4112,9.7583
1,159,27,0,1,36.0771,13,6,21,4.5000,0.5673,0.1481,0.4112,9.7583
1,160,27,1,1,29,7,5,21,4.5000,0.5673,0.1481,0.4112,9.7583
1,161,27,0,0,20,4,5,21,4.5000,0.5673,0.1481,0.4112,9.7583
1,162,27,0,0,29,12,5,21,4.5000,0.5673,0.1481,0.4112,9.7583
1,163,28,1,1,25,3,5,26,6,-1.5772,-0.0521,-2.0181,9.1890
1,164,28,0,1,30,10.2566,5,26,6,-1.5772,-0.0521,-2.0181,9.1890
1,165,28,0,1,29,8,7,26,6,-1.5772,-0.0521,-2.0181,9.1890
1,166,28,0,0,30,8,5,26,6,-1.5772,-0.0521,-2.0181,9.1890
1,167,28,1,0,26,9,3,26,6,-1.5772,-0.0521,-2.0181,9.1890
1,168,28,0,1,35.9774,11,7,26,6,-1.5772,-0.0521,-2.0181,9.1890
1,169,29,0,1,30,12,4,19,3.5000,1.1108,0.5916,1.4636,10.8954
1,170,29,0,1,30,12,3,19,3.5000,1.1108,0.5916,1.4636,10.8954
1,171,29,1,1,32,14.6800,3,19,3.5000,1.1108,0.5916,1.4636,10.8954
1,172,29,999,0,23,5,999,19,3.5000,1.1108,0.5916,1.4636,10.8954
1,173,29,999,0,27.9735,14,999,19,3.5000,1.1108,0.5916,1.4636,10.8954
1,174,29,0,1,35,13,5,19,3.5000,1.1108,0.5916,1.4636,10.8954
1,175,30,1,0,26,9,4,21,4,-0.3863,-0.5025,1.5856,11.3248
1,176,30,1,0,22,14,7,21,4,-0.3863,-0.5025,1.5856,11.3248
1,177,30,1,0,30,11.3769,2,21,4,-0.3863,-0.5025,1.5856,11.3248
1,178,30,0,0,30,14,6,21,4,-0.3863,-0.5025,1.5856,11.3248
1,179,30,0,1,29,14,5,21,4,-0.3863,-0.5025,1.5856,11.3248
1,180,30,1,1,32,10.5750,3,21,4,-0.3863,-0.5025,1.5856,11.3248
1,181,31,1,0,28,10,3,21,5.3157,-0.6766,0.8468,0.0167,10.0006
1,182,31,0,0,35.2171,14,4,21,5.3157,-0.6766,0.8468,0.0167,10.0006
1,183,31,1,1,22,8,5,21,5.3157,-0.6766,0.8468,0.0167,10.0006
1,184,31,0,1,35,11,3,21,5.3157,-0.6766,0.8468,0.0167,10.0006
1,185,31,0,0,31.1285,15,5,21,5.3157,-0.6766,0.8468,0.0167,10.0006
1,186,31,0,1,28,12,7,21,5.3157,-0.6766,0.8468,0.0167,10.0006
1,187,32,1,1,23,9,3,15,4.5000,0.6022,0.1224,-0.9397,7.1979
1,188,32,0,0,28,9,3,15,4.5000,0.6022,0.1224,-0.9397,7.1979
1,189,32,0,0,29,12,3,15,4.5000,0.6022,0.1224,-0.9397,7.1979
1,190,32,1,0,25,6,4,15,4.5000,0.6022,0.1224,-0.9397,7.1979
1,191,32,1,0,29,11,3,15,4.5000,0.6022,0.1224,-0.9397,7.1979
1,192,32,0,0,25,10.8047,4,15,4.5000,0.6022,0.1224,-0.9397,7.1979
1,193,33,1,1,32,8,3,19,5,1.4455,-0.0399,0.1236,10.9003
1,194,33,0,1,31,12,6,19,5,1.4455,-0.0399,0.1236,10.9003
1,195,33,0,0,40.9345,14,4,19,5,1.4455,-0.0399,0.1236,10.9003
1,196,33,0,0,33,13,5,19,5,1.4455,-0.0399,0.1236,10.9003
1,197,33,0,1,34.2733,10,3,19,5,1.4455,-0.0399,0.1236,10.9003
1,198,33,0,1,32,11,3,19,5,1.4455,-0.0399,0.1236,10.9003
1,199,34,1,1,27,9,4,24,5.5000,0.7745,-0.5263,0.7655,9.9421
1,200,34,0,1,30,11,4,24,5.5000,0.7745,-0.5263,0.7655,9.9421
1,201,34,1,0,27.6944,11,5,24,5.5000,0.7745,-0.5263,0.7655,9.9421
1,202,34,0,1,30,10.8615,6,24,5.5000,0.7745,-0.5263,0.7655,9.9421
1,203,34,0,1,31,12,4,24,5.5000,0.7745,-0.5263,0.7655,9.9421
1,204,34,0,1,32.5190,13,3,24,5.5000,0.7745,-0.5263,0.7655,9.9421
1,205,35,0,0,34.8355,15,7,33,3,0.5956,0.0397,0.0843,11.0110
