imp#,employee,team,turnover,male,empower,lmx,jobsat,climate,cohesion,beta_1j.latent,empower[team],lmx[team],lmx.mean[team]
1,1,1,0,1,32,11,3,18,3.5000,0.9298,0.0162,-0.9172,9.3536
1,2,1,1,1,34.0757,13,4,18,3.5000,0.9298,0.0162,-0.9172,9.3536
1,3,1,1,1,30,9,4,18,3.5000,0.9298,0.0162,-0.9172,9.3536
1,4,1,1,1,29,8,3,18,3.5000,0.9298,0.0162,-0.9172,9.3536
1,5,1,1,0,26,7,4,18,3.5000,0.9298,0.0162,-0.9172,9.3536
1,6,1,999,0,28.2617,10,999,18,3.5000,0.9298,0.0162,-0.9172,9.3536
1,7,2,0,0,29.5567,11,5,17,4,0.6939,-0.4188,0.3925,10.5922
1,8,2,0,1,22,9,3,17,4,0.6939,-0.4188,0.3925,10.5922
1,9,2,0,0,23,12.9699,2,17,4,0.6939,-0.4188,0.3925,10.5922
1,10,2,0,0,32,9,4,17,4,0.6939,-0.4188,0.3925,10.5922
1,11,2,0,1,28.9794,12,5,17,4,0.6939,-0.4188,0.3925,10.5922
1,12,2,1,0,36,13,4,17,4,0.6939,-0.4188,0.3925,10.5922
1,13,3,0,0,16,0,3,24.4665,6,1.1699,0.4884,-1.7788,10.3909
1,14,3,1,0,25,8,3,24.4665,6,1.1699,0.4884,-1.7788,10.3909
1,15,3,0,1,31,15,3,24.4665,6,1.1699,0.4884,-1.7788,10.3909
1,16,3,0,1,27,9,6,24.4665,6,1.1699,0.4884,-1.7788,10.3909
1,17,3,0,1,30,9,4,24.4665,6,1.1699,0.4884,-1.7788,10.3909
1,18,3,0,1,23,4.9767,3,24.4665,6,1.1699,0.4884,-1.7788,10.3909
1,19,4,0,0,27.2147,13,3,20,4.5000,0.6702,0.5435,2.7140,8.8715
1,20,4,1,0,26,11,5,20,4.5000,0.6702,0.5435,2.7140,8.8715
1,21,4,0,1,27,8,4,20,4.5000,0.6702,0.5435,2.7140,8.8715
1,22,4,1,1,42,10,4,20,4.5000,0.6702,0.5435,2.7140,8.8715
1,23,4,0,1,24,8,5,20,4.5000,0.6702,0.5435,2.7140,8.8715
1,24,4,0,0,37,16,6,20,4.5000,0.6702,0.5435,2.7140,8.8715
1,25,5,0,0,33,12,4,23,6.5000,0.3874,0.4533,-0.3764,10.6840
1,26,5,0,1,37,13,4,23,6.5000,0.3874,0.4533,-0.3764,10.6840
1,27,5,0,1,29,7.3352,4,23,6.5000,0.3874,0.4533,-0.3764,10.6840
1,28,5,0,1,32,9,5,23,6.5000,0.3874,0.4533,-0.3764,10.6840
1,29,5,0,0,24,6,4,23,6.5000,0.3874,0.4533,-0.3764,10.6840
1,30,5,1,0,31,6,3,23,6.5000,0.3874,0.4533,-0.3764,10.6840
1,31,6,1,0,21,2,3,18.9024,5.7258,0.8876,0.3585,-1.3212,9.4178
1,32,6,1,0,29,8,3,18.9024,5.7258,0.8876,0.3585,-1.3212,9.4178
1,33,6,0,1,34.2184,12,5,18.9024,5.7258,0.8876,0.3585,-1.3212,9.4178
1,34,6,0,1,25,9,5,18.9024,5.7258,0.8876,0.3585,-1.3212,9.4178
1,35,6,999,0,28.7942,12,999,18.9024,5.7258,0.8876,0.3585,-1.3212,9.4178
1,36,6,1,1,36,9.1557,5,18.9024,5.7258,0.8876,0.3585,-1.3212,9.4178
1,37,7,1,1,29,4,2,12,2,0.6082,0.6310,-0.3413,9.4947
1,38,7,0,1,26,8.3542,4,12,2,0.6082,0.6310,-0.3413,9.4947
1,39,7,1,0,26,6,2,12,2,0.6082,0.6310,-0.3413,9.4947
1,40,7,0,1,26,10,4,12,2,0.6082,0.6310,-0.3413,9.4947
1,41,7,1,1,31,9,4,12,2,0.6082,0.6310,-0.3413,9.4947
1,42,7,0,0,33,8,4,12,2,0.6082,0.6310,-0.3413,9.4947
